Sl. No.,States/UTs,Two-Wheelers - Number of Road Accidents - Fatal - 2014,Two-Wheelers - Number of Road Accidents - Fatal - 2014 per 1L people,Two-Wheelers - Number of Road Accidents - Total - 2014,Two-Wheelers - Number of Road Accidents - Total - 2014 per 1L people,Two-Wheelers - Number of Persons - Killed - 2014,Two-Wheelers - Number of Persons - Killed - 2014 per 1L people,Two-Wheelers - Number of Persons - Injured - 2014,Two-Wheelers - Number of Persons - Injured - 2014 per 1L people,Auto-Rickshaws - Number of Road Accidents - Fatal - 2014,Auto-Rickshaws - Number of Road Accidents - Fatal - 2014 per 1L people,Auto-Rickshaws - Number of Road Accidents - Total - 2014,Auto-Rickshaws - Number of Road Accidents - Total - 2014 per 1L people,Auto-Rickshaws - Number of Persons - Killed - 2014,Auto-Rickshaws - Number of Persons - Killed - 2014 per 1L people,Auto-Rickshaws - Number of Persons - Injured - 2014,Auto-Rickshaws - Number of Persons - Injured - 2014 per 1L people,"Cars, Jeeps,Taxis - Number of Road Accidents - Fatal - 2014","Cars, Jeeps,Taxis - Number of Road Accidents - Fatal - 2014 per 1L people","Cars, Jeeps,Taxis - Number of Road Accidents - Total - 2014","Cars, Jeeps,Taxis - Number of Road Accidents - Total - 2014 per 1L people","Cars, Jeeps,Taxis - Number of Persons - Killed - 2014","Cars, Jeeps,Taxis - Number of Persons - Killed - 2014 per 1L people","Cars, Jeeps,Taxis - Number of Persons - Injured - 2014","Cars, Jeeps,Taxis - Number of Persons - Injured - 2014 per 1L people",Buses - Number of Road Accidents - Fatal - 2014,Buses - Number of Road Accidents - Fatal - 2014 per 1L people,Buses - Number of Road Accidents - Total - 2014,Buses - Number of Road Accidents - Total - 2014 per 1L people,Buses - Number of Persons - Killed - 2014,Buses - Number of Persons - Killed - 2014 per 1L people,Buses - Number of Persons - Injured - 2014,Buses - Number of Persons - Injured - 2014 per 1L people,"Trucks, Tempos,MAVs,Tractors - Number of Road Accidents - Fatal - 2014","Trucks, Tempos,MAVs,Tractors - Number of Road Accidents - Fatal - 2014 per 1L people","Trucks, Tempos,MAVs,Tractors - Number of Road Accidents - Total - 2014","Trucks, Tempos,MAVs,Tractors - Number of Road Accidents - Total - 2014 per 1L people","Trucks, Tempos,MAVs,Tractors - Number of Persons - Killed - 2014","Trucks, Tempos,MAVs,Tractors - Number of Persons - Killed - 2014 per 1L people","Trucks, Tempos,MAVs,Tractors - Number of Persons - Injured - 2014","Trucks, Tempos,MAVs,Tractors - Number of Persons - Injured - 2014 per 1L people",Other Motor Vehicles - Number of Road Accidents - Fatal - 2014,Other Motor Vehicles - Number of Road Accidents - Fatal - 2014 per 1L people,Other Motor Vehicles - Number of Road Accidents - Total - 2014,Other Motor Vehicles - Number of Road Accidents - Total - 2014 per 1L people,Other Motor Vehicles - Number of Persons - Killed - 2014,Other Motor Vehicles - Number of Persons - Killed - 2014 per 1L people,Other Motor Vehicles - Number of Persons - Injured - 2014,Other Motor Vehicles - Number of Persons - Injured - 2014 per 1L people,Other Vehicles/Objects - Number of Road Accidents - Fatal - 2014,Other Vehicles/Objects - Number of Road Accidents - Fatal - 2014 per 1L people,Other Vehicles/Objects - Number of Road Accidents - Total - 2014,Other Vehicles/Objects - Number of Road Accidents - Total - 2014 per 1L people,Other Vehicles/Objects - Number of Persons - Killed - 2014,Other Vehicles/Objects - Number of Persons - Killed - 2014 per 1L people,Other Vehicles/Objects - Number of Persons - Injured - 2014,Other Vehicles/Objects - Number of Persons - Injured - 2014 per 1L people,Population,No. of total Acc. For each vehicle/1L people,No. of total killed for each vehicle/1L people," total Acc.,fatal Acc., killed & injured for each state/1L people"
22,Rajasthan,1851,2.700280387,5955,8.687287793,1902,2.774680333,6161,8.987805222,124,0.180893986,491,0.716281831,101,0.147341069,617,0.900093462,2408,3.512844501,6888,10.04836916,2654,3.871714828,8187,11.94337954,705,1.02846984,1820,2.655056891,826,1.204987358,2840,4.143055807,2883,4.205785173,6385,9.314581454,3314,4.834537657,6659,9.71429881,1353,1.973786798,3074,4.484420265,1481,2.160516074,2979,4.34583213,10,0.014588225,15,0.021882337,11,0.016047047,10,0.014588225,68548437,35.91,15.01,104.60
23,Sikkim,5,0.818897535,31,5.077164715,5,0.818897535,30,4.913385208,0,0,0,0,0,0,0,0,36,5.896062249,123,20.14487935,41,6.714959784,226,37.01416857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1.801574576,48,7.861416332,12,1.965354083,96,15.72283266,1,0.163779507,1,0.163779507,1,0.163779507,0,0,610577,33.08,9.66,109.24
24,Tamil Nadu,4570,6.33428708,24008,33.27649108,4704,6.520018911,25091,34.77759237,302,0.418589649,2910,4.033430066,313,0.433836292,4082,5.65789056,3117,4.320344164,18616,25.80286396,3505,4.858134839,23816,33.01036786,1830,2.536486949,6973,9.664985516,1983,2.748553891,9853,13.65683383,2199,3.047942514,8959,12.41769758,2432,3.370894131,10838,15.02210139,1248,1.729800936,2082,2.885773676,1324,1.835141377,658,0.912026455,899,1.246066539,3702,5.131188352,929,1.287648293,3387,4.694579943,72147030,88.08,21.05,241.63
25,Telangana,1342,4.160610735,4596,14.24900666,1399,4.337328181,3725,11.54864008,598,1.853983025,2567,7.958485662,671,2.080305368,3794,11.7625612,817,2.532950053,3605,11.17660335,911,2.824378823,3846,11.92377712,481,1.491247216,1457,4.517145933,524,1.624560377,1310,4.061400942,1872,5.803772948,4485,13.90487269,2007,6.222314267,6200,19.22189759,823,2.551551889,1854,5.747967439,979,3.035199635,951,2.948391065,383,1.187417222,1514,4.693863378,415,1.286627016,1810,5.611553973,32254880,57.55,21.41,170.32
26,Tripura,37,1.007099507,142,3.865084595,39,1.061537318,144,3.919522406,19,0.517159206,90,2.449701504,19,0.517159206,148,4.028398029,35,0.952661696,138,3.756208973,43,1.170412941,298,8.111233868,6,0.163313434,27,0.734910451,9,0.24497015,125,3.4023632,33,0.898223885,128,3.484019917,37,1.007099507,234,6.36922391,24,0.653253734,143,3.892303501,26,0.707691546,231,6.287567193,14,0.381064678,48,1.306507469,15,0.408283584,45,1.224850752,3673917,18.18,5.12,62.52
27,Uttarakhand,81,0.803070147,231,2.290237086,96,0.951786841,250,2.478611565,6,0.059486678,14,0.138802248,8,0.07931557,42,0.416406743,189,1.873830343,439,4.352441908,253,2.508354904,563,5.581833245,83,0.82289904,146,1.447509154,135,1.338450245,225,2.230750409,283,2.805788292,459,4.550730833,308,3.053649448,332,3.291596158,55,0.545294544,90,0.892300163,68,0.674182346,93,0.922043502,16,0.15863114,31,0.307347834,10,0.099144463,26,0.257775603,10086292,13.67,8.7,44.93
28,Uttar Pradesh,2189,1.095527928,4899,2.451800512,2492,1.247170214,3513,1.758149663,646,0.323303354,1476,0.738693112,777,0.38886487,1183,0.592055523,2692,1.347264131,6339,3.172476719,3168,1.585487655,4821,2.412763884,1079,0.540006686,2328,1.165093201,1251,0.626087455,1956,0.978918514,3882,1.942822941,8380,4.193935148,4501,2.252613616,5480,2.742573343,1694,0.847795482,3621,1.812200379,1896,0.948890339,2355,1.17860588,1660,0.830779516,3991,1.997374126,2202,1.102034033,3029,1.515922382,199812341,13.53,8.15,41.79
29,West Bengal,1257,1.37714012,3514,3.849857107,1333,1.460403962,2409,2.63924467,90,0.098601918,255,0.279372101,90,0.098601918,571,0.62557439,578,0.633243428,1465,1.605020108,674,0.738418808,1462,1.601733378,660,0.723080731,1262,1.382618005,670,0.7340365,1649,1.806606252,1666,1.825231059,3440,3.768784419,1795,1.966560474,3182,3.486125587,747,0.818395919,1943,2.12870585,750,0.821682649,1626,1.781407984,491,0.537928241,996,1.091194558,563,0.616809775,1119,1.225950513,91276115,13.01,6.44,39.72
30,Andaman & Nicobar Islands,4,1.051024618,92,24.17356621,5,1.313780772,98,25.75010313,3,0.788268463,26,6.831660015,3,0.788268463,39,10.24749002,6,1.576536926,58,15.23985696,6,1.576536926,61,16.02812542,3,0.788268463,21,5.517879243,3,0.788268463,48,12.61229541,3,0.788268463,13,3.415830007,5,1.313780772,34,8.93370925,1,0.262756154,8,2.102049235,1,0.262756154,3,0.788268463,0,0,0,0,0,0,0,0,380581,57.28,6.04,142.94
31,Chandigarh,20,1.894926335,61,5.779525321,20,1.894926335,76,7.200720072,1,0.094746317,9,0.852716851,1,0.094746317,15,1.421194751,51,4.832062154,195,18.47553176,52,4.92680847,182,17.24382965,17,1.610687385,35,3.316121086,23,2.179165285,25,2.368657918,15,1.421194751,35,3.316121086,15,1.421194751,26,2.463404235,20,1.894926335,34,3.221374769,20,1.894926335,11,1.042209484,0,0,0,0,0,0,0,0,1055450,34.96,12.41,90.86
